,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
373,Elie Okobo,PHO,PG,0.26884422110552764,0.37823529411764706,0.4878205128205128,0.6493506493506493,0.42,0.17054054054054052,0.38265060240963855,0.15296803652968038,0.08506616257088846,0.3000000000000001,0.28,0.11,0.12,0.16,0.16,0.11,0.14,0.02,0.15,0.11,0.4,0.1,0.04,0.26,0.22,0.28
374,Josh Okogie,MIN,SG,0.3391959798994975,0.6358823529411763,0.514102564102564,0.6753246753246753,0.41,0.2091891891891892,0.36771084337349397,0.18721461187214614,0.26654064272211725,0.3499999999999999,0.28,0.08,0.11,0.18,0.16,0.17,0.22,0.04,0.16,0.15,0.17,0.13,0.12,0.18,0.21,0.3
375,KZ Okpala,MIA,SF,0.010050251256281407,0.07441176470588236,0.5854700854700855,0.7792207792207791,0.2,0.2918918918918919,0.2819277108433735,0.15981735159817353,0.01890359168241966,0.5499999999999998,0.19,0.0,0.04,0.26,0.15,0.08,0.16,0.04,0.23,0.19,0.11,0.23,0.29,0.16,0.18,0.24
376,Victor Oladipo,IND,SG,0.6733668341708543,0.8867647058823529,0.6655982905982906,0.7012987012987013,0.34,0.22135135135135134,0.6134939759036144,0.32876712328767127,0.5311909262759924,0.3499999999999999,0.46,0.16,0.16,0.34,0.31,0.17,0.22,0.02,0.19,0.15,0.33,0.16,0.1,0.28,0.16,0.51
377,Kelly Olynyk,MIA,C,0.9170854271356784,0.5502941176470588,0.6279914529914531,0.7792207792207791,0.47,0.3324324324324325,0.467710843373494,0.33257229832572305,0.4347826086956522,0.6999999999999998,0.34,0.17,0.16,0.23,0.18,0.14,0.18,0.05,0.27,0.22,0.27,0.1,0.15,0.27,0.28,0.42
378,Miye Oni,UTA,SG,0.022613065326633167,0.24205882352941177,0.5,0.6623376623376623,0.59,0.23243243243243242,0.3686746987951807,0.15981735159817353,0.03780718336483932,0.40000000000000036,0.29,0.18,0.18,0.11,0.12,0.07,0.09,0.05,0.17,0.16,0.1,0.11,0.15,0.14,0.19,0.29
379,Cedi Osman,CLE,SF,0.5050251256281407,0.6532352941176471,0.5297008547008547,0.7142857142857143,0.48,0.22216216216216217,0.4115662650602409,0.22983257229832574,0.09262759924385633,0.5,0.32,0.16,0.16,0.19,0.17,0.09,0.13,0.02,0.18,0.14,0.21,0.08,0.02,0.19,0.19,0.35
380,Kelly Oubre,PHO,SF,0.871859296482412,0.6294117647058823,0.542948717948718,0.6883116883116883,0.41,0.2635135135135135,0.46192771084337353,0.21765601217656017,0.29678638941398866,0.5,0.37,0.14,0.15,0.24,0.22,0.16,0.21,0.03,0.2,0.17,0.1,0.11,0.15,0.17,0.24,0.41
381,Tariq Owens,PHO,PF,0.005025125628140704,0.06852941176470588,0.47222222222222227,0.4415584415584416,0.4,0.3,0.40240963855421685,0.15981735159817353,0.01890359168241966,0.65,0.34,0.0,0.14,0.14,0.2,0.28,0.28,0.14,0.09,0.2,0.0,0.18,0.0,0.0,0.14,0.24
382,Jeremy Pargo,GSW,PG,0.005025125628140704,0.35294117647058826,0.561965811965812,0.7272727272727273,0.32,0.1,0.619277108433735,0.15981735159817353,0.01890359168241966,0.2500000000000003,0.5,0.19,0.16,0.41,0.34,0.0,0.04,0.02,0.07,0.07,0.52,0.06,0.0,0.36,0.41,0.51
383,Jabari Parker,SAC,PF,0.6507537688442211,0.7720588235294118,0.6487179487179487,0.7142857142857143,0.19,0.3081081081081081,0.5730120481927711,0.2625570776255708,0.20226843100189038,0.5499999999999998,0.43,0.08,0.08,0.42,0.35,0.15,0.2,0.05,0.22,0.2,0.21,0.09,0.1,0.24,0.17,0.48
384,Chandler Parsons,ATL,SF,0.4020100502512563,0.6,0.5555555555555556,0.6883116883116883,0.45,0.21405405405405406,0.46433734939759036,0.23135464231354644,0.19659735349716448,0.6000000000000002,0.35,0.16,0.16,0.22,0.2,0.09,0.12,0.01,0.2,0.14,0.26,0.09,0.1,0.21,0.16,0.37
385,Eric Paschall,GSW,PF,0.14824120603015076,0.7323529411764705,0.6025641025641025,0.7402597402597402,0.2,0.24324324324324326,0.5156626506024096,0.28158295281582957,0.11342155009451796,0.4500000000000002,0.39,0.06,0.08,0.38,0.31,0.19,0.26,0.05,0.18,0.17,0.21,0.06,0.06,0.23,0.17,0.46
386,Anzejs Pasecniks,WAS,C,0.06532663316582915,0.39764705882352946,0.5341880341880342,0.7142857142857143,0.03,0.3621621621621622,0.3807228915662651,0.18264840182648404,0.056710775047258986,0.85,0.27,0.0,0.01,0.32,0.26,0.16,0.26,0.1,0.22,0.25,0.13,0.06,0.19,0.22,0.39,0.33
